Enrollments,,,,,,,,,,2024-2025 RECRUITMENT BY GRADE ,,,,,,,2025/6 SENIORS,,,,,Avg Return Rate ,50%,,
,2022/23,2023/24,% increase,2024/25,% increase,,Class,Weekly Metrocards,,graduation yr,2028,2027,2026,2025,,,,SY25 (Active),,SY26 Returning (50% est),SY26 Summer Core Sr. Recruitment Goals,,,,
Fresh Air Fund ,84,N/A,N/A,N/A,N/A,,Core 1,0,,grade,9th,10th,11th,12th,sub-total,,,,,,,,,,
Masterclasses,N/A,#N/A,100%,#REF!,#REF!,,Core 3,0,,Core,0,0,0,0,0,,Game Design Lab,0,,,,,,,
Spring Break Game Design Lab ,N/A,46,N/A,#REF!,#REF!,,Adv 1,0,,Core Summer,#REF!,#REF!,#REF!,#REF!,#REF!,,Core Summer,,,,90,(this presumes all 65 will EITHER move on to Adv or continue working with Joelle in the fall),,,
School Based After-school (GP) ,101,87,-14%,N/A,N/A,,Adv 3,0,,Adv,0,0,0,0,0,,Core,0,,,,,,,
Summer Core,88,96,9%,#N/A,#N/A,,Play Lab,0,,Studio,0,0,0,0,0,,Adv,0,,0,,,,,
Senior XP (Summer),N/A,N/A,N/A,#N/A,N/A,,Studio,0,,Play Lab,0,0,0,0,,,Studio,0,,0,,,,,
After-school Core,88,103,17%,#N/A,#N/A,,TOTAL WEEKLY,0,,Senior XP,0,0,0,0,,,Play Lab,0,,,,,,,
Advanced,44,58,32%,#N/A,#N/A,,TOTAL TO JUNE (ish),0,,Game Design Lab,0,0,0,0,,,College Access-Only,,,10,,Need to confirm,,,
Studio,14,20,43%,#N/A,#N/A,,$$,0,,Total,#REF!,#REF!,#REF!,#REF!,,,Totals,0,,10,,,,,
Play Lab,N/A,N/A,N/A,#N/A,N/A,,,,,,,,,,,,,,,Total Seniors SY26 (Goal),100,,,,
Total Enrollments (SIA only),234,277,18%,#N/A,#N/A,,,,,,,,2023/24 =,26,,,,,,,"* just confirming that ""100 graduates by 2026"" does NOT mean cumulative graduations since the goal was set (i.e. Class of 25 this year + class of 26 this coming year)",,,,
Total Enrollements (SIA+GD Lab),N/A,323,N/A,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,
Total Enrollments (SIA+GP+Masterclasses),419,#N/A,#N/A,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,
"* Enrollments = # of times students enrolled in classes - duplicates any students who enrolled in 2 courses.  At the end of the year, we will create a merged report that removes duplicated students here: FY25 Merged Student Data (draft)",,,,,,,,,,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Retention (# of students who completed the program),,,,,,,,,,CORE TO ADVANCED > STUDENT RETENTION YEAR TO YEAR,,,,,,ADV TO STUDIO > STUDENT RETENTION YEAR TO YEAR,,,,,,,,,
,2022/23,2022/23 rate,2023/24,2023/24 rate,% increase,2024/25 ,2024/25 rate,% increase,,Core Program,# students in Core,# who joined Adv 24/25,% of core who continued,% of Adv program,,Year,# active in 3D previous year,# joined Studio SY25,# joined PL SY25,% of 3D who continued,,,,,
Fresh Air Fund ,84,100%,N/A,N/A,N/A,N/A,N/A,N/A,,Summer 2024,89,0,0%,#DIV/0!,,SY25,53,0,0,0%,,,,,
Pop-Up Classes,N/A,N/A,282,N/A,N/A,#REF!,N/A,N/A,,SY 2023-2024,71,0,0%,#DIV/0!,,SY24,38,19,,50%,,,,,
School Based After-school (GP) ,56,55%,55,63%,14%,N/A,N/A,N/A,,,,,,,,,,,,,,,,,
Spring Break Game Design Lab,N/A,N/A,33,72%,N/A,#REF!,#REF!,#REF!,,Summer 2023,84,0,,#DIV/0!,,,,,,,,,,,
SeniorXP,N/A,N/A,N/A,N/A,N/A,#REF!,#REF!,N/A,,Total,244,0,#DIV/0!,,,,,,,,,,,,
Summer Core,61,69%,84,88%,26%,#N/A,#N/A,#N/A,,,,,,,,# Seniors in 3D SY25,,,,,,,,,
After-school Core,49,56%,70,69%,23%,#N/A,#N/A,#N/A,,,,,,,,0,,,,,,,,,
Advanced,38,86%,53,91%,6%,#N/A,#N/A,#N/A,,Core Program,# students in Core,# who joined Adv 23/24,% of core who continued,% of Adv program,,,,,,,,,,,
Studio,14,100%,19,95%,-5%,#N/A,#N/A,#N/A,,Summer 2023,84,34,40%,64%,,,,,,,,,,,
Play Lab,N/A,N/A,N/A,N/A,N/A,#N/A,#N/A,N/A,,SY 2022-2023,70,19,27%,36%,,,,,,,,,,,
Total (SIA only),162,69%,227,82%,18%,#REF!,#REF!,#REF!,,Total,154,53,36%,,,,,,,,,,,,
Total (SIA + GP),302,72%,596,79%,9%,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,
* Note: The data will not be final until June 2025 - this shows up to the minute stats on how many are still 'active' in the program. ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,#DIV/0!,% increase in the % of students who move from Core to Advanced each year,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Attendance Rates,,,,,,,,,,,,,,,,,,,,,,,,,
,2022/23 rate,2023/24 rate,% increase*,2024/25 rate,% increase*,,,,,,,,,,,,,,,,,,,,
Spring Break Game Design Lab,N/A,83%,N/A,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,
Senior XP,N/A,N/A,N/A,#REF!,N/A,,,,,,,,,,,,,,,,,,,,
Summer Core,N/A,94%,N/A,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,
After-school Core,75%,84%,11%,#REF!,#REF!,,, ,,,,,,,,,,,,,,,,,
Advanced,87%,85%,-2%,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,
Studio,81%,87%,8%,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,
Play Lab,N/A,N/A,N/A,#REF!,N/A,,,,,,,,,,,,,,,,,,,,
Total ,79%,85%,8%,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,
* Note: The data will not be final until June 2025 - this shows up to the minute stats on how many are still 'active' in the program. ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Average Passing Rates,,,2023/24 rate,2024/25 rate,% increase*,,,0,,,,,,,,,,,,,,,,,
Core (summer) ,,,N/A,#REF!,N/A,,,,,,,,,,,,,,,,,,,,
Core (school year),,,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,
Advanced,,,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,
Play Lab,,,N/A,#REF!,N/A,,,,,,,,,,,,,,,,,,,,
Studio,,,100%,99%,-1%,,,,,,,,,,,,,,,,,,,,
Total,,,67%,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Portfolio Completion Rates,,,2023/24 rate,2024/25 rate,% increase*,,,,,,,,,,,,,,,,,,,,
Core (summer),,,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,
Core (school year),,,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,
Advanced,,,#REF!,#REF!,#REF!,,,,27,63%,,,,,,,,,,,,,,,
Play Lab,,,N/A,#REF!,N/A,,,,18,61%,,,,,,,,,,,,,,,
Studio,,,#REF!,#REF!,#REF!,,,,23,43%,,,,,,,,,,,,,,,
Total,,,65%,#REF!,#REF!,,,,30,71%,,,,,,,,,,,,,,,
,,,,,,,,,19,100%,,,,,,,,,,,,,,,
Grade,SY2023-24,n=,Summer 24 (active),n=,SY2024-25 (active),n=,,,,,,,,,,,,,,,,,,,
9th,,,#REF!,0,#REF!,0,,,,,,,,,,,,,,,,,,,
10th,,,#REF!,0,#REF!,0,,,,,,,,,,,,,,,,,,,
11th,,,#REF!,0,#REF!,0,,,,,,,,,,,,,,,,,,,
12th,,,#REF!,0,#REF!,0,,,,,,,,,,,,,,,As of 7/23/25 (before final review),,,,
,,,,,,,,,,,,,,,,,,,,,Class Name,Average Attendance,Retention Rate,% w/ Final portfolio,Learning Average
Disability,SY2023-24,n=,Summer 24 (enrolled),n=,Summer 24 (active),n=,SY2024-25 (enrolled),n=,SY2024-25 (active),n=,,,,,,,,,,,Core 1,77%,81%,50%,72%
Yes,7%,10,#N/A,1,#REF!,0,#REF!,#REF!,#REF!,0,,,,,,,,,,,Core 2,87%,58%,0%,63%
No / Unknown,93%,132,#N/A,#N/A,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,Core 3,79%,71%,0%,60%
,,,,,,,,,,,,,,,,,,,,,Play Lab,80%,75%,100%,83%
Family Income,Summer 24 (enrolled),Average # of dependents (enrolled),Summer 24 (active),Average # of dependents (active),SY2024-25 (enrolled),Average # of dependents (enrolled),SY2024-25 (active),Average # of dependents (active),,,,,,,,,,,,,,,,,
"< $50,000",#REF!,#N/A,0%,#N/A,#REF!,#N/A,#REF!,#N/A,,,,,,,,,,,,,,,,,
"$50,000 - $74,999",#REF!,#N/A,0%,#N/A,#REF!,#N/A,#REF!,#N/A,,,,,,,,,,,,,,,,,
"$75,000 - $99,999",#REF!,#N/A,0%,#N/A,#REF!,#N/A,#REF!,#N/A,,,,,,,,,,,,,,,,,
"$100,000 - $200,000",#REF!,#N/A,0%,#N/A,#REF!,#N/A,#REF!,#N/A,,,,,,,,,,,,,,,,,
"> $200,000",#REF!,#N/A,0%,#N/A,#REF!,#N/A,#REF!,#N/A,,30,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Race/Ethnicity (Select All),SY2023-24 (enrolled),n=,Summer 24 (enrolled),n=,Summer 24 (active),n=,SY2024-25 (enrolled),n=,SY2024-25 (active),n=,,,"# enrolled who identify as ""Black"" (without Latinx)","# enrolled who identify as ""Latinx"" (without ""Black"")","# enrolled who identify as both ""Latinx"" and ""Black""",Total enrolled Black and/or Latinx students,% increase,% of total,,,,,,,
Black or African-American,25%,55,#REF!,#REF!,0%,0,#REF!,#REF!,#REF!,0,,Summer 23,20,30,7,57,,,,,,,,,
"American Indian, Alaska native or First Nations",1%,3,#REF!,#REF!,0%,0,#REF!,#REF!,#REF!,0,,Summer 24,0,0,0,0,-100%,,,,,,,,
Asian,29%,63,#REF!,#REF!,0%,0,#REF!,#REF!,#REF!,0,,SY2023-24,43,66,12,121,,,,,,,,,
Hispanic or Latinx,36%,78,#REF!,#REF!,0%,0,#REF!,#REF!,#REF!,0,,SY2024-25,0,0,0,0,-100%,#REF!,,,,,,,
Middle Eastern or North African,0%,,#REF!,#REF!,0%,0,#REF!,#REF!,#REF!,0,,,,,,,,#N/A,,,,,,,
Native Hawaiian or other Pacific Islander,0%,,#REF!,#REF!,0%,0,#REF!,#REF!,#REF!,0,,,,,,,,,,,,,,,
White,9%,20,#REF!,#REF!,0%,0,#REF!,#REF!,#REF!,0,,,,,,,,,,,,,,,
Prefer not to say,,13,#REF!,#REF!,0%,0,#REF!,#REF!,#REF!,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Gender (Select All),SY2023-24 (enrolled),n=,Summer 24 (enrolled),n=,Summer 24 (active),n=,SY2024-25 (enrolled),n=,SY2024-25 (active),n=,,,,,,,,,,,,,,,
Woman or Girl,34%,84,#REF!,#REF!,0.0%,0,#REF!,#REF!,#REF!,0,,,,,,,,,,,,,,,
Non-Binary or Gender Non-Conforming,4%,11,#REF!,#REF!,0.0%,0,#REF!,#REF!,#REF!,0,,,,,,,,,,,,,,,
Man or Boy,62%,155,#REF!,#REF!,0.0%,0,#REF!,#REF!,#REF!,0,,,,,,,,,,,,,,,
Another identity not listed here,0%,0,#REF!,#REF!,0.0%,0,#REF!,#REF!,#REF!,0,,,,,,,,,,,,,,,
Prefer not to say,3%,7,#REF!,#REF!,0.0%,0,#REF!,#REF!,#REF!,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
School Location,,,Summer 24 (enrolled),n=,Summer 24 (active),n=,SY2024-25 (enrolled),n=,SY2024-25 (active),n=,,,,,,,,,,,,,,,
Brooklyn,,,#REF!,#REF!,#DIV/0!,0,#REF!,#REF!,#DIV/0!,0,,,,,,,,,,,,,,,
Bronx,,,#REF!,#REF!,#DIV/0!,0,#REF!,#REF!,#DIV/0!,0,,,,,,,,,,,,,,,
Manhattan,,,#REF!,#REF!,#DIV/0!,0,#REF!,#REF!,#DIV/0!,0,,,,,,,,,,,,,,,
Queens,,,#REF!,#REF!,#DIV/0!,0,#REF!,#REF!,#DIV/0!,0,,,,,,,,,,,,,,,
Staten Island,,,#REF!,#REF!,#DIV/0!,0,#REF!,#REF!,#DIV/0!,0,,,,,,,,,,,,,,,
Non-NYC,,,#REF!,#REF!,#DIV/0!,0,#REF!,#REF!,#DIV/0!,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Schools List,# active students,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,